Date,Time,HomeTeam,Score,AwayTeam,Week,Season
16/12/2006,21:15,Sporting,1-0,Académica OAF,J14,2006-2007
16/12/2006,19:00,Benfica,3-0,Vitória FC,J14,2006-2007
15/12/2006,20:30,Marítimo,1-4,Belenenses,J14,2006-2007
11/12/2006,,Nacional,1-2,FC Porto,J13,2006-2007
10/12/2006,19:15,Naval,0-0,Benfica,J13,2006-2007
10/12/2006,16:00,Paços de Ferreira,1-1,Est. Amadora,J13,2006-2007
10/12/2006,16:00,Académica OAF,1-2,Marítimo,J13,2006-2007
10/12/2006,15:00,CD Aves,0-1,UD Leiria,J13,2006-2007
09/12/2006,20:30,Vitória FC,0-3,Sporting,J13,2006-2007
09/12/2006,18:15,Boavista,3-0,Beira-Mar,J13,2006-2007
08/12/2006,20:30,Belenenses,2-0,SC Braga,J13,2006-2007
04/12/2006,19:45,Marítimo,1-0,Vitória FC,J12,2006-2007
03/12/2006,19:30,SC Braga,4-2,Académica OAF,J12,2006-2007
03/12/2006,16:00,UD Leiria,0-0,Paços de Ferreira,J12,2006-2007
03/12/2006,16:00,Est. Amadora,2-0,Nacional,J12,2006-2007
03/12/2006,15:00,CD Aves,2-0,Naval,J12,2006-2007
02/12/2006,18:00,Beira-Mar,1-2,Belenenses,J12,2006-2007
02/12/2006,,FC Porto,2-0,Boavista,J12,2006-2007
01/12/2006,20:30,Sporting,0-2,Benfica,J12,2006-2007
27/11/2006,19:45,Vitória FC,1-2,SC Braga,J11,2006-2007
26/11/2006,21:15,Naval,0-1,Sporting,J11,2006-2007
26/11/2006,16:00,Paços de Ferreira,2-0,CD Aves,J11,2006-2007
26/11/2006,16:00,Nacional,2-1,UD Leiria,J11,2006-2007
26/11/2006,16:00,Académica OAF,3-1,Beira-Mar,J11,2006-2007
26/11/2006,,Belenenses,0-1,FC Porto,J11,2006-2007
25/11/2006,19:30,Benfica,2-1,Marítimo,J11,2006-2007
24/11/2006,20:30,Boavista,1-1,Est. Amadora,J11,2006-2007
20/11/2006,19:45,Est. Amadora,1-0,Belenenses,J10,2006-2007
19/11/2006,21:15,UD Leiria,0-0,Boavista,J10,2006-2007
19/11/2006,19:15,Marítimo,0-1,Sporting,J10,2006-2007
19/11/2006,16:00,Paços de Ferreira,1-1,Naval,J10,2006-2007
19/11/2006,15:00,CD Aves,3-1,Nacional,J10,2006-2007
18/11/2006,21:30,SC Braga,3-1,Benfica,J10,2006-2007
18/11/2006,,FC Porto,2-1,Académica OAF,J10,2006-2007
17/11/2006,20:30,Beira-Mar,1-1,Vitória FC,J10,2006-2007
06/11/2006,19:15,Sporting,3-0,SC Braga,J9,2006-2007
06/11/2006,,Vitória FC,0-3,FC Porto,J9,2006-2007
05/11/2006,19:45,Benfica,3-0,Beira-Mar,J9,2006-2007
05/11/2006,16:00,Naval,0-1,Marítimo,J9,2006-2007
05/11/2006,16:00,Nacional,5-1,Paços de Ferreira,J9,2006-2007
05/11/2006,16:00,Académica OAF,2-0,Est. Amadora,J9,2006-2007
04/11/2006,19:15,Boavista,2-1,CD Aves,J9,2006-2007
03/11/2006,20:30,Belenenses,0-1,UD Leiria,J9,2006-2007
30/10/2006,19:45,Paços de Ferreira,2-0,Boavista,J8,2006-2007
29/10/2006,18:30,SC Braga,1-4,Marítimo,J8,2006-2007
29/10/2006,16:00,Nacional,1-1,Naval,J8,2006-2007
29/10/2006,16:00,Est. Amadora,1-0,Vitória FC,J8,2006-2007
29/10/2006,15:00,CD Aves,0-1,Belenenses,J8,2006-2007
28/10/2006,17:00,UD Leiria,2-0,Académica OAF,J8,2006-2007
28/10/2006,,FC Porto,3-2,Benfica,J8,2006-2007
27/10/2006,20:30,Beira-Mar,3-3,Sporting,J8,2006-2007
23/10/2006,19:45,Naval,1-1,SC Braga,J7,2006-2007
22/10/2006,19:15,Benfica,3-1,Est. Amadora,J7,2006-2007
22/10/2006,16:00,Vitória FC,1-2,UD Leiria,J7,2006-2007
22/10/2006,16:00,Marítimo,2-1,Beira-Mar,J7,2006-2007
22/10/2006,16:00,Académica OAF,2-0,CD Aves,J7,2006-2007
22/10/2006,,Sporting,1-1,FC Porto,J7,2006-2007
21/10/2006,19:30,Boavista,0-4,Nacional,J7,2006-2007
20/10/2006,20:30,Belenenses,2-0,Paços de Ferreira,J7,2006-2007
16/10/2006,19:45,Boavista,0-1,Naval,J6,2006-2007
15/10/2006,20:00,Est. Amadora,0-1,Sporting,J6,2006-2007
15/10/2006,18:00,Nacional,2-1,Belenenses,J6,2006-2007
15/10/2006,16:00,Paços de Ferreira,1-1,Académica OAF,J6,2006-2007
15/10/2006,16:00,CD Aves,1-2,Vitória FC,J6,2006-2007
14/10/2006,21:15,UD Leiria,0-4,Benfica,J6,2006-2007
14/10/2006,,FC Porto,3-0,Marítimo,J6,2006-2007
13/10/2006,20:30,Beira-Mar,0-3,SC Braga,J6,2006-2007
02/10/2006,20:30,Vitória FC,1-1,Paços de Ferreira,J5,2006-2007
02/10/2006,19:15,Sporting,2-0,UD Leiria,J5,2006-2007
02/10/2006,,SC Braga,2-1,FC Porto,J5,2006-2007
01/10/2006,19:45,Benfica,4-1,CD Aves,J5,2006-2007
01/10/2006,16:00,Marítimo,2-1,Est. Amadora,J5,2006-2007
01/10/2006,16:00,Académica OAF,1-3,Nacional,J5,2006-2007
30/09/2006,21:00,Belenenses,0-2,Boavista,J5,2006-2007
29/09/2006,20:30,Naval,2-1,Beira-Mar,J5,2006-2007
25/09/2006,20:30,UD Leiria,1-0,Marítimo,J4,2006-2007
24/09/2006,20:45,Boavista,2-2,Académica OAF,J4,2006-2007
24/09/2006,18:30,Nacional,1-0,Vitória FC,J4,2006-2007
23/09/2006,20:30,CD Aves,0-2,Sporting,J4,2006-2007
23/09/2006,20:30,Belenenses,0-0,Naval,J4,2006-2007
23/09/2006,17:00,Est. Amadora,0-0,SC Braga,J4,2006-2007
22/09/2006,21:30,Paços de Ferreira,1-1,Benfica,J4,2006-2007
22/09/2006,,FC Porto,3-0,Beira-Mar,J4,2006-2007
19/09/2006,20:30,Vitória FC,1-0,Boavista,J3,2006-2007
18/09/2006,20:30,SC Braga,0-1,UD Leiria,J3,2006-2007
17/09/2006,19:15,Benfica,1-0,Nacional,J3,2006-2007
17/09/2006,16:00,Marítimo,0-0,CD Aves,J3,2006-2007
17/09/2006,16:00,Beira-Mar,2-0,Est. Amadora,J3,2006-2007
17/09/2006,16:00,Académica OAF,1-1,Belenenses,J3,2006-2007
17/09/2006,,Naval,0-2,FC Porto,J3,2006-2007
16/09/2006,21:15,Sporting,0-1,Paços de Ferreira,J3,2006-2007
11/09/2006,20:30,UD Leiria,2-2,Beira-Mar,J2,2006-2007
10/09/2006,19:00,Académica OAF,1-2,Naval,J2,2006-2007
10/09/2006,18:00,Belenenses,2-0,Vitória FC,J2,2006-2007
10/09/2006,16:00,Paços de Ferreira,2-1,Marítimo,J2,2006-2007
10/09/2006,,Est. Amadora,0-3,FC Porto,J2,2006-2007
09/09/2006,21:15,Boavista,3-0,Benfica,J2,2006-2007
09/09/2006,19:00,Nacional,0-1,Sporting,J2,2006-2007
08/09/2006,20:30,CD Aves,0-1,SC Braga,J2,2006-2007
28/08/2006,20:30,Vitória FC,1-1,Académica OAF,J1,2006-2007
27/08/2006,21:15,Marítimo,1-0,Nacional,J1,2006-2007
27/08/2006,17:00,Naval,2-0,Est. Amadora,J1,2006-2007
26/08/2006,21:15,Sporting,3-2,Boavista,J1,2006-2007
26/08/2006,21:00,SC Braga,2-1,Paços de Ferreira,J1,2006-2007
26/08/2006,19:00,Beira-Mar,2-2,CD Aves,J1,2006-2007
25/08/2006,,FC Porto,2-1,UD Leiria,J1,2006-2007
07/05/2006,18:30,Vitória SC,0-1,Est. Amadora,J34,2005-2006
07/05/2006,18:30,UD Leiria,5-2,Rio Ave,J34,2005-2006
07/05/2006,18:30,Sporting,1-0,SC Braga,J34,2005-2006
07/05/2006,18:30,Paços de Ferreira,3-1,Benfica,J34,2005-2006
07/05/2006,18:30,Gil Vicente,1-0,Belenenses,J34,2005-2006
07/05/2006,18:30,FC Penafiel,0-1,Naval,J34,2005-2006
07/05/2006,18:30,Académica OAF,2-2,Marítimo,J34,2005-2006
06/05/2006,18:00,Vitória FC,1-1,Nacional,J34,2005-2006
06/05/2006,,Boavista,1-1,FC Porto,J34,2005-2006
30/04/2006,18:30,SC Braga,1-1,Gil Vicente,J33,2005-2006
30/04/2006,18:30,Rio Ave,1-3,Sporting,J33,2005-2006
30/04/2006,18:30,Naval,0-2,UD Leiria,J33,2005-2006
30/04/2006,18:30,Marítimo,1-1,Paços de Ferreira,J33,2005-2006
30/04/2006,18:30,Est. Amadora,1-0,FC Penafiel,J33,2005-2006
30/04/2006,18:30,Benfica,1-0,Vitória FC,J33,2005-2006
30/04/2006,18:30,Belenenses,0-0,Académica OAF,J33,2005-2006
30/04/2006,,FC Porto,3-1,Vitória SC,J33,2005-2006
29/04/2006,19:00,Nacional,1-0,Boavista,J33,2005-2006
24/04/2006,20:30,Académica OAF,0-3,SC Braga,J32,2005-2006
23/04/2006,20:45,Sporting,0-0,Naval,J32,2005-2006
23/04/2006,18:30,Nacional,1-1,Benfica,J32,2005-2006
23/04/2006,16:00,Vitória FC,0-1,Marítimo,J32,2005-2006
23/04/2006,16:00,UD Leiria,1-1,Est. Amadora,J32,2005-2006
23/04/2006,16:00,Paços de Ferreira,1-1,Belenenses,J32,2005-2006
23/04/2006,16:00,Gil Vicente,1-0,Rio Ave,J32,2005-2006
22/04/2006,,FC Penafiel,0-1,FC Porto,J32,2005-2006
21/04/2006,21:30,Vitória SC,1-1,Boavista,J32,2005-2006
17/04/2006,20:30,SC Braga,2-3,Paços de Ferreira,J31,2005-2006
16/04/2006,18:00,Marítimo,2-0,Nacional,J31,2005-2006
15/04/2006,21:15,Boavista,0-2,Benfica,J31,2005-2006
15/04/2006,19:15,Est. Amadora,0-0,Sporting,J31,2005-2006
15/04/2006,16:00,Vitória SC,3-1,FC Penafiel,J31,2005-2006
15/04/2006,16:00,Rio Ave,1-4,Académica OAF,J31,2005-2006
15/04/2006,16:00,Naval,1-4,Gil Vicente,J31,2005-2006
14/04/2006,17:15,Belenenses,3-1,Vitória FC,J31,2005-2006
14/04/2006,,FC Porto,1-0,UD Leiria,J31,2005-2006
10/04/2006,20:30,FC Penafiel,0-0,Boavista,J30,2005-2006
09/04/2006,20:45,Vitória FC,1-0,SC Braga,J30,2005-2006
09/04/2006,18:30,Benfica,2-2,Marítimo,J30,2005-2006
09/04/2006,16:00,Paços de Ferreira,2-1,Rio Ave,J30,2005-2006
09/04/2006,16:00,Gil Vicente,1-1,Est. Amadora,J30,2005-2006
09/04/2006,16:00,Académica OAF,2-2,Naval,J30,2005-2006
08/04/2006,17:15,UD Leiria,1-0,Vitória SC,J30,2005-2006
08/04/2006,,Sporting,0-1,FC Porto,J30,2005-2006
07/04/2006,21:30,Nacional,4-0,Belenenses,J30,2005-2006
03/04/2006,20:30,Rio Ave,1-0,Vitória FC,J29,2005-2006
02/04/2006,18:00,Boavista,1-1,Marítimo,J29,2005-2006
02/04/2006,16:00,FC Penafiel,1-1,UD Leiria,J29,2005-2006
02/04/2006,16:00,Est. Amadora,3-2,Académica OAF,J29,2005-2006
02/04/2006,,FC Porto,3-0,Gil Vicente,J29,2005-2006
01/04/2006,21:15,Belenenses,1-2,Benfica,J29,2005-2006
01/04/2006,19:00,Vitória SC,0-1,Sporting,J29,2005-2006
01/04/2006,16:00,Naval,1-0,Paços de Ferreira,J29,2005-2006
31/03/2006,21:30,SC Braga,1-0,Nacional,J29,2005-2006
27/03/2006,20:30,UD Leiria,0-0,Boavista,J28,2005-2006
26/03/2006,20:30,Sporting,2-0,FC Penafiel,J28,2005-2006
26/03/2006,16:00,Vitória FC,4-1,Naval,J28,2005-2006
26/03/2006,16:00,Paços de Ferreira,2-1,Est. Amadora,J28,2005-2006
26/03/2006,16:00,Gil Vicente,1-1,Vitória SC,J28,2005-2006
26/03/2006,,Académica OAF,0-1,FC Porto,J28,2005-2006
25/03/2006,21:30,Marítimo,1-0,Belenenses,J28,2005-2006
25/03/2006,19:00,Benfica,1-0,SC Braga,J28,2005-2006
25/03/2006,18:00,Nacional,1-1,Rio Ave,J28,2005-2006
19/03/2006,20:30,UD Leiria,0-1,Sporting,J27,2005-2006
19/03/2006,18:30,Rio Ave,0-1,Benfica,J27,2005-2006
19/03/2006,16:00,Vitória SC,1-1,Académica OAF,J27,2005-2006
19/03/2006,16:00,SC Braga,2-0,Marítimo,J27,2005-2006
19/03/2006,16:00,FC Penafiel,1-1,Gil Vicente,J27,2005-2006
19/03/2006,16:00,Est. Amadora,1-0,Vitória FC,J27,2005-2006
18/03/2006,19:00,Boavista,0-2,Belenenses,J27,2005-2006
18/03/2006,,FC Porto,3-0,Paços de Ferreira,J27,2005-2006
17/03/2006,21:30,Naval,3-1,Nacional,J27,2005-2006
13/03/2006,20:30,Belenenses,2-0,SC Braga,J26,2005-2006
12/03/2006,19:45,Benfica,0-0,Naval,J26,2005-2006
12/03/2006,16:00,Paços de Ferreira,1-1,Vitória SC,J26,2005-2006
12/03/2006,16:00,Nacional,1-2,Est. Amadora,J26,2005-2006
11/03/2006,21:15,Sporting,1-0,Boavista,J26,2005-2006
11/03/2006,19:00,Marítimo,0-0,Rio Ave,J26,2005-2006
11/03/2006,16:00,Gil Vicente,1-2,UD Leiria,J26,2005-2006
11/03/2006,16:00,Académica OAF,1-0,FC Penafiel,J26,2005-2006
10/03/2006,,Vitória FC,0-2,FC Porto,J26,2005-2006
06/03/2006,20:30,Rio Ave,2-1,Belenenses,J25,2005-2006
05/03/2006,20:30,Sporting,2-0,Gil Vicente,J25,2005-2006
05/03/2006,16:00,UD Leiria,0-2,Académica OAF,J25,2005-2006
05/03/2006,16:00,FC Penafiel,2-2,Paços de Ferreira,J25,2005-2006
05/03/2006,,FC Porto,3-0,Nacional,J25,2005-2006
04/03/2006,21:30,Est. Amadora,1-2,Benfica,J25,2005-2006
04/03/2006,19:15,Boavista,0-0,SC Braga,J25,2005-2006
04/03/2006,16:00,Naval,2-0,Marítimo,J25,2005-2006
03/03/2006,21:30,Vitória SC,4-0,Vitória FC,J25,2005-2006
27/02/2006,20:30,SC Braga,5-0,Rio Ave,J24,2005-2006
26/02/2006,16:00,Vitória FC,2-0,FC Penafiel,J24,2005-2006
26/02/2006,16:00,Paços de Ferreira,1-1,UD Leiria,J24,2005-2006
26/02/2006,16:00,Marítimo,1-0,Est. Amadora,J24,2005-2006
26/02/2006,16:00,Belenenses,2-3,Naval,J24,2005-2006
26/02/2006,,Benfica,1-0,FC Porto,J24,2005-2006
25/02/2006,21:15,Académica OAF,0-3,Sporting,J24,2005-2006
25/02/2006,19:00,Nacional,1-1,Vitória SC,J24,2005-2006
24/02/2006,21:30,Gil Vicente,0-1,Boavista,J24,2005-2006
20/02/2006,20:30,UD Leiria,0-2,Vitória FC,J23,2005-2006
19/02/2006,21:15,Naval,0-1,SC Braga,J23,2005-2006
19/02/2006,16:00,Gil Vicente,4-3,Académica OAF,J23,2005-2006
19/02/2006,16:00,FC Penafiel,1-2,Nacional,J23,2005-2006
19/02/2006,16:00,Est. Amadora,1-2,Belenenses,J23,2005-2006
18/02/2006,23:00,FC Porto,1-0,Marítimo,J23,2005-2006
18/02/2006,20:30,Sporting,3-0,Paços de Ferreira,J23,2005-2006
18/02/2006,18:00,Vitória SC,2-0,Benfica,J23,2005-2006
17/02/2006,21:30,Boavista,2-1,Rio Ave,J23,2005-2006
13/02/2006,20:30,Marítimo,0-1,Vitória SC,J22,2005-2006
12/02/2006,21:30,Benfica,4-0,FC Penafiel,J22,2005-2006
12/02/2006,18:30,Vitória FC,1-2,Sporting,J22,2005-2006
12/02/2006,16:00,SC Braga,1-1,Est. Amadora,J22,2005-2006
12/02/2006,16:00,Rio Ave,0-1,Naval,J22,2005-2006
12/02/2006,16:00,Paços de Ferreira,1-0,Gil Vicente,J22,2005-2006
12/02/2006,16:00,Nacional,1-4,UD Leiria,J22,2005-2006
11/02/2006,19:15,Académica OAF,0-2,Boavista,J22,2005-2006
11/02/2006,,Belenenses,0-2,FC Porto,J22,2005-2006
06/02/2006,,FC Porto,1-1,SC Braga,J21,2005-2006
05/02/2006,20:00,Vitória SC,2-2,Belenenses,J21,2005-2006
05/02/2006,16:00,Gil Vicente,5-0,Vitória FC,J21,2005-2006
05/02/2006,16:00,FC Penafiel,3-2,Marítimo,J21,2005-2006
05/02/2006,16:00,Est. Amadora,0-0,Rio Ave,J21,2005-2006
04/02/2006,21:15,UD Leiria,3-1,Benfica,J21,2005-2006
04/02/2006,19:15,Sporting,1-0,Nacional,J21,2005-2006
04/02/2006,16:00,Académica OAF,3-0,Paços de Ferreira,J21,2005-2006
03/02/2006,21:30,Boavista,3-0,Naval,J21,2005-2006
30/01/2006,20:30,Vitória FC,0-1,Académica OAF,J20,2005-2006
29/01/2006,21:15,SC Braga,1-0,Vitória SC,J20,2005-2006
29/01/2006,16:00,Nacional,2-0,Gil Vicente,J20,2005-2006
29/01/2006,16:00,Marítimo,3-0,UD Leiria,J20,2005-2006
29/01/2006,16:00,Belenenses,5-0,FC Penafiel,J20,2005-2006
29/01/2006,,Rio Ave,0-0,FC Porto,J20,2005-2006
28/01/2006,19:45,Benfica,1-3,Sporting,J20,2005-2006
28/01/2006,17:00,Naval,2-0,Est. Amadora,J20,2005-2006
27/01/2006,21:30,Paços de Ferreira,0-1,Boavista,J20,2005-2006
23/01/2006,20:30,UD Leiria,2-2,Belenenses,J19,2005-2006
21/01/2006,19:15,Sporting,1-1,Marítimo,J19,2005-2006
21/01/2006,17:00,Boavista,2-1,Est. Amadora,J19,2005-2006
21/01/2006,16:00,Vitória SC,1-1,Rio Ave,J19,2005-2006
21/01/2006,16:00,Paços de Ferreira,1-2,Vitória FC,J19,2005-2006
21/01/2006,16:00,Académica OAF,0-0,Nacional,J19,2005-2006
21/01/2006,,FC Porto,1-0,Naval,J19,2005-2006
20/01/2006,21:30,Gil Vicente,1-3,Benfica,J19,2005-2006
19/01/2006,21:00,FC Penafiel,0-0,SC Braga,J19,2005-2006
16/01/2006,20:30,Vitória FC,0-2,Boavista,J18,2005-2006
15/01/2006,18:45,Benfica,3-0,Académica OAF,J18,2005-2006
15/01/2006,16:00,Rio Ave,2-0,FC Penafiel,J18,2005-2006
15/01/2006,16:00,Naval,0-0,Vitória SC,J18,2005-2006
15/01/2006,16:00,Nacional,2-2,Paços de Ferreira,J18,2005-2006
15/01/2006,16:00,Marítimo,1-1,Gil Vicente,J18,2005-2006
15/01/2006,,Est. Amadora,2-1,FC Porto,J18,2005-2006
14/01/2006,21:15,Belenenses,0-1,Sporting,J18,2005-2006
14/01/2006,19:00,SC Braga,1-0,UD Leiria,J18,2005-2006
09/01/2006,20:30,Rio Ave,1-2,UD Leiria,J17,2005-2006
08/01/2006,18:30,Benfica,2-0,Paços de Ferreira,J17,2005-2006
08/01/2006,16:00,Est. Amadora,2-0,Vitória SC,J17,2005-2006
08/01/2006,,FC Porto,1-0,Boavista,J17,2005-2006
07/01/2006,21:15,SC Braga,3-2,Sporting,J17,2005-2006
07/01/2006,17:00,Naval,4-1,FC Penafiel,J17,2005-2006
07/01/2006,16:00,Marítimo,2-2,Académica OAF,J17,2005-2006
06/01/2006,21:30,Nacional,2-2,Vitória FC,J17,2005-2006
06/01/2006,19:15,Belenenses,0-2,Gil Vicente,J17,2005-2006
22/12/2005,21:00,FC Penafiel,0-1,Est. Amadora,J16,2005-2006
22/12/2005,19:15,Boavista,0-3,Nacional,J16,2005-2006
22/12/2005,,Vitória SC,0-2,FC Porto,J16,2005-2006
21/12/2005,21:30,Vitória FC,0-1,Benfica,J16,2005-2006
21/12/2005,19:15,Gil Vicente,2-1,SC Braga,J16,2005-2006
21/12/2005,19:00,Académica OAF,0-1,Belenenses,J16,2005-2006
21/12/2005,17:00,UD Leiria,2-1,Naval,J16,2005-2006
21/12/2005,16:00,Paços de Ferreira,1-2,Marítimo,J16,2005-2006
20/12/2005,21:30,Sporting,3-0,Rio Ave,J16,2005-2006
18/12/2005,20:15,Boavista,1-1,Vitória SC,J15,2005-2006
17/12/2005,19:15,Benfica,1-0,Nacional,J15,2005-2006
17/12/2005,17:00,SC Braga,2-0,Académica OAF,J15,2005-2006
17/12/2005,16:00,Rio Ave,1-0,Gil Vicente,J15,2005-2006
17/12/2005,16:00,Marítimo,1-0,Vitória FC,J15,2005-2006
17/12/2005,16:00,Est. Amadora,1-2,UD Leiria,J15,2005-2006
17/12/2005,16:00,Belenenses,2-0,Paços de Ferreira,J15,2005-2006
17/12/2005,,FC Porto,3-1,FC Penafiel,J15,2005-2006
16/12/2005,21:30,Naval,0-2,Sporting,J15,2005-2006
12/12/2005,20:30,Vitória FC,1-0,Belenenses,J14,2005-2006
11/12/2005,20:30,Benfica,1-0,Boavista,J14,2005-2006
11/12/2005,18:15,Paços de Ferreira,1-0,SC Braga,J14,2005-2006
11/12/2005,16:00,Gil Vicente,2-0,Naval,J14,2005-2006
11/12/2005,16:00,FC Penafiel,0-1,Vitória SC,J14,2005-2006
11/12/2005,16:00,Académica OAF,2-2,Rio Ave,J14,2005-2006
10/12/2005,19:15,Nacional,2-1,Marítimo,J14,2005-2006
10/12/2005,,UD Leiria,1-3,FC Porto,J14,2005-2006
09/12/2005,21:30,Sporting,0-1,Est. Amadora,J14,2005-2006
05/12/2005,20:30,Vitória SC,0-3,UD Leiria,J13,2005-2006
04/12/2005,20:45,SC Braga,0-1,Vitória FC,J13,2005-2006
04/12/2005,18:30,Boavista,2-1,FC Penafiel,J13,2005-2006
04/12/2005,16:00,Rio Ave,2-2,Paços de Ferreira,J13,2005-2006
04/12/2005,16:00,Naval,0-1,Académica OAF,J13,2005-2006
04/12/2005,16:00,Est. Amadora,1-0,Gil Vicente,J13,2005-2006
03/12/2005,21:15,Marítimo,0-1,Benfica,J13,2005-2006
03/12/2005,19:15,Belenenses,1-0,Nacional,J13,2005-2006
02/12/2005,,FC Porto,1-1,Sporting,J13,2005-2006
28/11/2005,,Gil Vicente,0-1,FC Porto,J12,2005-2006
27/11/2005,21:15,Benfica,0-0,Belenenses,J12,2005-2006
27/11/2005,19:15,Sporting,2-0,Vitória SC,J12,2005-2006
27/11/2005,16:00,UD Leiria,1-1,FC Penafiel,J12,2005-2006
27/11/2005,16:00,Paços de Ferreira,3-1,Naval,J12,2005-2006
27/11/2005,16:00,Académica OAF,1-0,Est. Amadora,J12,2005-2006
27/11/2005,15:00,Vitória FC,1-0,Rio Ave,J12,2005-2006
26/11/2005,19:30,Marítimo,1-1,Boavista,J12,2005-2006
25/11/2005,21:30,Nacional,1-0,SC Braga,J12,2005-2006
21/11/2005,20:00,Belenenses,0-1,Marítimo,J11,2005-2006
20/11/2005,21:15,Boavista,2-0,UD Leiria,J11,2005-2006
20/11/2005,19:15,FC Penafiel,0-1,Sporting,J11,2005-2006
20/11/2005,16:00,Rio Ave,0-2,Nacional,J11,2005-2006
20/11/2005,16:00,Naval,0-3,Vitória FC,J11,2005-2006
20/11/2005,16:00,Est. Amadora,0-0,Paços de Ferreira,J11,2005-2006
19/11/2005,17:00,SC Braga,3-2,Benfica,J11,2005-2006
19/11/2005,,FC Porto,5-1,Académica OAF,J11,2005-2006
18/11/2005,21:30,Vitória SC,2-0,Gil Vicente,J11,2005-2006
07/11/2005,20:30,Académica OAF,1-0,Vitória SC,J10,2005-2006
06/11/2005,19:15,Benfica,2-2,Rio Ave,J10,2005-2006
06/11/2005,16:00,Vitória FC,1-0,Est. Amadora,J10,2005-2006
06/11/2005,16:00,Nacional,2-0,Naval,J10,2005-2006
06/11/2005,16:00,Gil Vicente,2-2,FC Penafiel,J10,2005-2006
06/11/2005,,Paços de Ferreira,0-1,FC Porto,J10,2005-2006
05/11/2005,21:30,Belenenses,1-1,Boavista,J10,2005-2006
05/11/2005,17:15,Marítimo,1-0,SC Braga,J10,2005-2006
04/11/2005,21:00,Sporting,2-1,UD Leiria,J10,2005-2006
31/10/2005,20:30,SC Braga,2-0,Belenenses,J9,2005-2006
30/10/2005,20:30,Boavista,2-2,Sporting,J9,2005-2006
30/10/2005,18:00,Vitória SC,0-2,Paços de Ferreira,J9,2005-2006
30/10/2005,16:00,UD Leiria,3-0,Gil Vicente,J9,2005-2006
30/10/2005,16:00,Rio Ave,2-2,Marítimo,J9,2005-2006
30/10/2005,16:00,FC Penafiel,1-0,Académica OAF,J9,2005-2006
30/10/2005,16:00,Est. Amadora,0-2,Nacional,J9,2005-2006
29/10/2005,21:15,Naval,1-1,Benfica,J9,2005-2006
29/10/2005,,FC Porto,0-0,Vitória FC,J9,2005-2006
23/10/2005,19:15,Gil Vicente,2-2,Sporting,J8,2005-2006
23/10/2005,19:00,Vitória FC,0-1,Vitória SC,J8,2005-2006
23/10/2005,16:00,Paços de Ferreira,2-2,FC Penafiel,J8,2005-2006
23/10/2005,16:00,Marítimo,2-1,Naval,J8,2005-2006
23/10/2005,16:00,Académica OAF,1-3,UD Leiria,J8,2005-2006
23/10/2005,,Nacional,0-1,FC Porto,J8,2005-2006
22/10/2005,21:00,Benfica,2-0,Est. Amadora,J8,2005-2006
22/10/2005,18:45,SC Braga,1-0,Boavista,J8,2005-2006
21/10/2005,21:30,Belenenses,1-2,Rio Ave,J8,2005-2006
17/10/2005,20:30,Boavista,2-0,Gil Vicente,J7,2005-2006
16/10/2005,21:15,Naval,2-1,Belenenses,J7,2005-2006
16/10/2005,19:15,Sporting,0-1,Académica OAF,J7,2005-2006
16/10/2005,17:00,UD Leiria,3-0,Paços de Ferreira,J7,2005-2006
16/10/2005,16:00,FC Penafiel,0-1,Vitória FC,J7,2005-2006
16/10/2005,16:00,Est. Amadora,2-2,Marítimo,J7,2005-2006
15/10/2005,17:30,Vitória SC,0-0,Nacional,J7,2005-2006
15/10/2005,,FC Porto,0-2,Benfica,J7,2005-2006
14/10/2005,21:30,Rio Ave,1-2,SC Braga,J7,2005-2006
04/10/2005,20:30,SC Braga,1-0,Naval,J6,2005-2006
03/10/2005,20:30,Benfica,2-1,Vitória SC,J6,2005-2006
02/10/2005,21:30,Paços de Ferreira,3-0,Sporting,J6,2005-2006
02/10/2005,16:00,Vitória FC,2-0,UD Leiria,J6,2005-2006
02/10/2005,16:00,Nacional,2-0,FC Penafiel,J6,2005-2006
02/10/2005,16:00,Académica OAF,2-0,Gil Vicente,J6,2005-2006
02/10/2005,,Marítimo,2-2,FC Porto,J6,2005-2006
01/10/2005,18:45,Rio Ave,1-1,Boavista,J6,2005-2006
30/09/2005,21:30,Belenenses,0-2,Est. Amadora,J6,2005-2006
26/09/2005,20:30,Boavista,2-1,Académica OAF,J5,2005-2006
25/09/2005,20:30,Sporting,1-0,Vitória FC,J5,2005-2006
25/09/2005,16:00,UD Leiria,0-0,Nacional,J5,2005-2006
25/09/2005,16:00,Naval,1-0,Rio Ave,J5,2005-2006
25/09/2005,16:00,Gil Vicente,2-0,Paços de Ferreira,J5,2005-2006
25/09/2005,16:00,Est. Amadora,0-0,SC Braga,J5,2005-2006
24/09/2005,19:00,Vitória SC,1-0,Marítimo,J5,2005-2006
24/09/2005,,FC Porto,2-0,Belenenses,J5,2005-2006
23/09/2005,21:30,FC Penafiel,1-3,Benfica,J5,2005-2006
19/09/2005,21:15,Nacional,2-1,Sporting,J4,2005-2006
19/09/2005,19:00,Belenenses,3-1,Vitória SC,J4,2005-2006
18/09/2005,19:15,Benfica,4-0,UD Leiria,J4,2005-2006
18/09/2005,16:00,Vitória FC,1-0,Gil Vicente,J4,2005-2006
18/09/2005,16:00,Rio Ave,2-1,Est. Amadora,J4,2005-2006
